,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude,geometry,osm_id,code,fclass,name,dist
0,116.4,4.5,1453.2,Farmsen-Berne,Hamburg,22159,14.976,2019-05-30 22:00:00,53.59779278086435,10.121997352109794,POINT (10.12199735210979 53.59779278086435),1190663105,2205,playground,,0.002903338410126292
1,78.0,3.0,819.6,Wandsbek,Hamburg,22047,12.612,2019-01-31 23:00:00,53.586691366220855,10.086159002222203,POINT (10.0861590022222 53.58669136622085),4100013663,2514,chemist,Budnikowsky,0.000321492588762718
2,62.4,3.5,504.0,Wilstorf,Hamburg,21079,9.696,2019-01-31 23:00:00,53.444908104587356,9.996352831413693,POINT (9.996352831413693 53.44490810458736),3517456812,2724,memorial,Berthold Bormann,0.00031797040283509665
3,98.4,3.5,1131.6,Rahlstedt,Hamburg,22145,13.8,2019-04-30 22:00:00,53.62468452926397,10.145269276629293,POINT (10.14526927662929 53.62468452926397),6348457833,2593,vending_any,,0.0005373154120982707
4,144.0,3.5,2280.0,Blankenese,Hamburg,22587,18.996,2019-03-28 23:00:00,53.559651828283386,9.799681528125992,POINT (9.799681528125992 53.55965182828339),308012942,2902,bench,,0.0006548586266542591
5,97.8,3.5,1128.0,Langenhorn,Hamburg,22419,13.836,2019-02-28 23:00:00,53.65458996529272,10.005657694021274,POINT (10.00565769402127 53.65458996529272),4597147484,2005,post_office,,0.0005470944280174251
6,60.0,2.5,660.0,Neugraben-Fischbek,Hamburg,21147,13.2,2019-01-31 23:00:00,53.479685017840566,9.859130282717368,POINT (9.859130282717368 53.47968501784057),4173465079,2032,recycling_paper,,0.0034652030913780328
7,78.0,2.5,573.768,Marmstorf,Hamburg,21077,8.832,2019-06-30 22:00:00,53.44150328239415,9.95938067307467,POINT (9.959380673074669 53.44150328239415),1657200411,2501,supermarket,EDEKA,0.00043393513199501256
8,61.2,2.5,807.6,Barmbek-Nord,Hamburg,22307,15.84,2019-04-30 22:00:00,53.60196967166618,10.047336420566687,POINT (10.04733642056669 53.60196967166618),865272859,2724,memorial,Adolf Krampe,0.0012606849781105537
9,60.0,2.5,660.0,Neugraben-Fischbek,Hamburg,21147,13.2,2019-01-31 23:00:00,53.479685017840566,9.859130282717368,POINT (9.859130282717368 53.47968501784057),4173465079,2032,recycling_paper,,0.0034652030913780328
10,92.364,2.5,924.0,Eimsbüttel,Hamburg,20357,12.0,2019-02-28 23:00:00,53.56876233864666,9.966410373828596,POINT (9.966410373828596 53.56876233864666),2087001844,2301,restaurant,AuthenTikka,5.559122428880848e-05
11,25.2,1.5,720.0,Uhlenhorst,Hamburg,22085,34.284,2019-04-30 22:00:00,53.572847101145896,10.01320752632542,POINT (10.01320752632542 53.5728471011459),826747308,2724,memorial,Kurt Perels,0.0010465781021440415
12,153.516,4.5,2568.0,Winterhude,Hamburg,22303,20.076,2019-01-31 23:00:00,53.59136166854757,10.035367494032279,POINT (10.03536749403228 53.59136166854757),4519240504,2514,chemist,Budnikowsky,0.0003853365792354729
13,82.44,3.5,930.0,Harburg,Hamburg,21073,13.536,2019-05-30 22:00:00,53.452713141224535,9.973793769414133,POINT (9.973793769414133 53.45271314122454),7627132718,2305,bar,corner,0.00012565615408207737
14,104.88,3.5,943.92,Eißendorf,Hamburg,21075,10.8,2019-02-28 23:00:00,53.45476421720855,9.948470398488952,POINT (9.948470398488952 53.45476421720855),6856919658,2503,kiosk,Jonas Kiosk & Backshop,0.00038812771189377255
15,144.0,4.5,2370.0,Winterhude,Hamburg,22301,19.752,2019-04-30 22:00:00,53.583095606935565,9.997841608036063,POINT (9.997841608036063 53.58309560693557),704378704,2724,memorial,Manfred Olschewitz,0.0004106449368749295
16,54.0,2.5,681.6,Eimsbüttel,Hamburg,20257,15.144,2019-06-30 22:00:00,53.57401290203683,9.95003046155358,POINT (9.950030461553579 53.57401290203683),2754624214,2561,hairdresser,Erika Buchholz,0.00015725406929585015
17,80.4,2.5,1092.0,Poppenbüttel,Hamburg,22399,16.296,2019-02-28 23:00:00,53.66495407810724,10.084609283027687,POINT (10.08460928302769 53.66495407810724),626143003,2120,doctors,Dr. Mareike Rosenboom,0.0034430996138420053
18,76.8,2.0,801.6,Billstedt,Hamburg,22111,12.528,2019-04-30 22:00:00,53.54080589619398,10.100659460961984,POINT (10.10065946096198 53.54080589619398),2615159169,2501,supermarket,Sultan Bazar,0.0001275867929799743
