,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude
0,116.4,4.5,1453.2,Farmsen-Berne,Hamburg,22159,14.975999999999999,2019-05-30 22:00:00,53.59779278086435,10.121997352109794
1,78.0,3.0,819.6,Wandsbek,Hamburg,22047,12.612,2019-01-31 23:00:00,53.586691366220855,10.086159002222203
2,62.4,3.5,504.0,Wilstorf,Hamburg,21079,9.696,2019-01-31 23:00:00,53.444908104587356,9.996352831413693
3,98.4,3.5,1131.6,Rahlstedt,Hamburg,22145,13.8,2019-04-30 22:00:00,53.62468452926397,10.145269276629293
4,144.0,3.5,2280.0,Blankenese,Hamburg,22587,18.996,2019-03-28 23:00:00,53.559651828283386,9.799681528125992
5,97.8,3.5,1128.0,Langenhorn,Hamburg,22419,13.835999999999999,2019-02-28 23:00:00,53.65458996529272,10.005657694021274
6,60.0,2.5,660.0,Neugraben-Fischbek,Hamburg,21147,13.2,2019-01-31 23:00:00,53.47968501784057,9.859130282717368
7,78.0,2.5,573.768,Marmstorf,Hamburg,21077,8.832,2019-06-30 22:00:00,53.44150328239415,9.95938067307467
8,61.2,2.5,807.6,Barmbek-Nord,Hamburg,22307,15.84,2019-04-30 22:00:00,53.60196967166618,10.047336420566687
9,60.0,2.5,660.0,Neugraben-Fischbek,Hamburg,21147,13.2,2019-01-31 23:00:00,53.47968501784057,9.859130282717368
10,92.36399999999999,2.5,924.0,Eimsbüttel,Hamburg,20357,12.0,2019-02-28 23:00:00,53.56876233864666,9.966410373828596
11,25.2,1.5,720.0,Uhlenhorst,Hamburg,22085,34.284,2019-04-30 22:00:00,53.5728471011459,10.01320752632542
12,153.516,4.5,2568.0,Winterhude,Hamburg,22303,20.076,2019-01-31 23:00:00,53.59136166854757,10.035367494032279
13,82.44,3.5,930.0,Harburg,Hamburg,21073,13.536,2019-05-30 22:00:00,53.452713141224535,9.973793769414133
14,104.88,3.5,943.92,Eißendorf,Hamburg,21075,10.8,2019-02-28 23:00:00,53.45476421720855,9.948470398488952
15,144.0,4.5,2370.0,Winterhude,Hamburg,22301,19.752,2019-04-30 22:00:00,53.583095606935565,9.997841608036063
16,54.0,2.5,681.6,Eimsbüttel,Hamburg,20257,15.144,2019-06-30 22:00:00,53.57401290203683,9.95003046155358
17,80.4,2.5,1092.0,Poppenbüttel,Hamburg,22399,16.296,2019-02-28 23:00:00,53.66495407810724,10.084609283027689
18,76.8,2.0,801.6,Billstedt,Hamburg,22111,12.527999999999999,2019-04-30 22:00:00,53.54080589619398,10.100659460961984
19,153.72,4.0,3228.0,Uhlenhorst,Hamburg,22085,25.2,2019-01-31 23:00:00,53.57404896283156,10.017707442346255
20,98.4,4.0,1230.0,Barmbek-Süd,Hamburg,22085,15.0,2019-06-30 22:00:00,53.5721711616365,10.025266852202577
21,75.6,2.5,1134.0,Groß Flottbek,Hamburg,22807,18.0,2019-03-28 23:00:00,53.567917935530865,9.881252559675161
22,74.4,3.0,1188.0,Winterhude,Hamburg,22299,19.164,2019-06-30 22:00:00,53.599027307456424,10.00252668703028
23,115.2,3.5,2136.0,Eimsbüttel,Hamburg,20357,22.248,2019-04-30 22:00:00,53.57161392780712,9.967892677431747
24,67.332,3.5,774.324,Eilbek,Hamburg,22089,13.8,2019-04-30 22:00:00,53.56599727569129,10.048629235545247
25,109.2,4.0,982.8,Ohlsdorf,Hamburg,22337,10.8,2019-02-28 23:00:00,53.60931425526589,10.039165097354926
26,54.0,1.5,745.2,Horn,Hamburg,22111,16.56,2019-02-28 23:00:00,53.552589989457466,10.08053979890548
27,148.08,3.5,2028.0,Bergedorf,Hamburg,21029,16.44,2019-05-30 22:00:00,53.48943731478875,10.219767972487404
28,99.42,3.5,795.6,Langenhorn,Hamburg,22419,9.6,2019-06-30 22:00:00,53.65891559959272,10.015395340914168
29,76.176,2.5,487.524,Eidelstedt,Hamburg,22523,7.68,2019-03-28 23:00:00,53.604516754415684,9.900344261132117
30,61.2,2.0,540.0,Niendorf,Hamburg Niendorf,22455,10.584000000000001,2019-06-30 22:00:00,53.63541769427787,9.954635462341841
31,63.408,1.5,971.4119999999999,Eppendorf,Hamburg,20249,18.384,2019-06-30 22:00:00,53.5900724583158,9.98651175160197
32,66.936,3.0,737.64,Hamm-Mitte,Hamburg,20537,13.224,2019-05-30 22:00:00,53.552647156704005,10.059858046000487
33,75.852,3.5,884.148,Horn,Hamburg,22119,13.992,2019-06-30 22:00:00,53.55978281856046,10.09831582723765
34,72.0,2.5,864.0,Groß Borstel,Hamburg,22453,14.4,2019-02-28 23:00:00,53.60855312169896,9.976963906374037
35,62.4,2.5,660.0,Marienthal,Hamburg Marienthal,22043,12.696,2019-02-28 23:00:00,53.56569288545322,10.074748963555596
36,81.6,3.0,924.0,Marienthal,Hamburg,22043,13.584000000000001,2019-03-28 23:00:00,53.56548870924251,10.065215680929892
37,81.96,2.5,1038.0,Jenfeld,Hamburg Jenfeld,22045,15.192,2019-01-31 23:00:00,53.58280687274448,10.14076918368567
38,90.0,3.5,840.0,Schnelsen,Hamburg Schnelsen,22459,11.196,2019-06-30 22:00:00,53.62520480096608,9.930191510808573
39,101.11200000000001,3.5,1466.124,Rahlstedt,Hamburg,22143,17.4,2019-05-30 22:00:00,53.606214730771185,10.157966681412516
40,59.952,2.5,418.464,Hamm-Nord,Hamburg,20535,8.376,2019-01-31 23:00:00,53.56247486012311,10.062594837083244
41,60.528,2.5,575.4,Ohlsdorf,Hamburg,22337,11.412,2019-06-30 22:00:00,53.6079497123341,10.032976086483032
42,48.0,1.5,426.0,Farmsen-Berne,Hamburg,22159,10.655999999999999,2019-04-30 22:00:00,53.601003838612115,10.117075109165176
43,72.0,2.5,460.8,Farmsen-Berne,Hamburg,22159,7.68,2019-06-30 22:00:00,53.611305359082145,10.117745703310002
44,140.4,4.5,1890.0,Blankenese,Hamburg,22587,16.152,2019-04-30 22:00:00,53.56520863327805,9.805501615049687
45,100.56,3.5,1140.0,Niendorf,Hamburg,22459,13.607999999999999,2019-01-31 23:00:00,53.62518626615089,9.94830251794844
46,69.55199999999999,3.0,1500.0,St. Pauli,Hamburg,20359,25.884,2019-05-30 22:00:00,53.555725858272936,9.962871054617217
47,38.4,1.5,420.0,Billstedt,Hamburg,22117,13.128,2019-02-28 23:00:00,53.530636138992755,10.124625824028259
48,48.0,1.5,900.0,Harvestehude,Hamburg,20144,22.5,2019-02-28 23:00:00,53.571943870696174,9.977013557171995
49,79.98,2.5,1237.2,Winterhude,Hamburg,22303,18.564,2019-03-28 23:00:00,53.590271673656424,10.02186300291118
50,91.2,3.5,720.0,Blankenese,Hamburg,22587,9.468,2019-06-30 22:00:00,53.5635963634068,9.817642430917935
51,110.95200000000001,3.5,2340.0,Hamb.-Altstadt,Hamburg,20457,25.308000000000003,2019-03-28 23:00:00,53.54728690026146,10.000672996460077
52,318.0,9.0,3960.0,Eppendorf,Hamburg Eppendorf,20249,14.94,2019-06-30 22:00:00,53.59139383766652,9.993692027013276
53,108.0,4.5,1560.0,Altona-Altstadt,Hamburg,22767,17.328,2019-02-28 23:00:00,53.55979546312639,9.955814484256438
54,55.2,2.5,570.0,Harburg,Hamburg,21073,12.395999999999999,2019-06-30 22:00:00,53.458169341160364,9.9695011749885
55,48.0,1.5,548.4,St. Pauli,Hamburg,20357,13.716,2019-04-30 22:00:00,53.558251439581966,9.971543562304976
56,134.4,5.5,2344.8,Rotherbaum,Hamburg,20146,20.94,2019-05-30 22:00:00,53.56674214359202,9.975271818104202
57,81.6,3.0,938.4,Lohbrügge,Hamburg,21033,13.8,2019-06-30 22:00:00,53.496088443009384,10.203209244500428
58,66.0,2.5,960.0,Volksdorf,Hamburg,22359,17.46,2019-04-30 22:00:00,53.64760555087921,10.164246628366444
59,40.8,1.5,540.0,Lokstedt,Hamburg,22529,15.888,2019-04-30 22:00:00,53.58840782099379,9.956643263281881
60,88.08,3.5,900.0,Steilshoop,Hamburg,22309,12.264000000000001,2019-04-30 22:00:00,53.601383776592435,10.054518094450609
61,86.964,3.0,1128.0,Rahlstedt,Hamburg,22145,15.564,2019-02-28 23:00:00,53.625526472990636,10.15708565907564
62,112.2,3.5,2356.2,HafenCity,Hamburg HafenCity,20457,25.2,2019-02-28 23:00:00,53.543196673425406,9.996482388645637
63,93.6,3.5,948.0,Eidelstedt,Eidelstedt,22523,12.155999999999999,2019-01-31 23:00:00,53.62052850427665,9.898423741956735
64,64.296,2.5,723.336,Horn,Hamburg,22119,13.5,2019-05-30 22:00:00,53.559352974687854,10.100456810799793
65,144.0,3.5,1536.0,Rissen,Hamburg,22559,12.804,2019-03-28 23:00:00,53.571247604180215,9.758232524673993
66,79.2,2.5,910.8,Barmbek-Süd,Hamburg,22083,13.8,2019-03-28 23:00:00,53.582423464231326,10.04241711815542
67,20.4,1.5,486.0,Harburg,Hamburg,21079,28.584,2019-03-28 23:00:00,53.455703613936215,9.988582655705985
68,41.028,2.5,594.9119999999999,Fuhlsbüttel,Hamburg,22335,17.4,2019-03-28 23:00:00,53.627845198722156,10.024317970142393
69,58.8,2.5,672.0,Sasel,Hamburg,22393,13.716,2019-04-30 22:00:00,53.653208116648706,10.114300289629588
70,138.0,4.0,2388.0,Uhlenhorst,Hamburg,22085,20.76,2019-05-30 22:00:00,53.57358496168038,10.013085310727227
71,82.8,3.0,426.37199999999996,Harburg,Hamburg,21073,6.18,2019-03-28 23:00:00,53.457752287949816,9.979392879653528
72,113.04,4.0,1073.88,Steilshoop,Hamburg,22309,11.4,2019-06-30 22:00:00,53.61209578256207,10.054577247070704
73,71.16,3.5,1209.72,Eppendorf,Hamburg,22529,20.4,2019-02-28 23:00:00,53.600583525577534,9.981041523820624
74,73.2,2.5,822.0,Bergedorf,Hamburg,21029,13.475999999999999,2019-06-30 22:00:00,53.49520164271828,10.215916044608084
75,48.0,2.5,682.8,Wandsbek,Hamburg,22041,17.076,2019-03-28 23:00:00,53.582487030185526,10.080027803260986
76,116.988,4.5,1404.0,Harburg,Hamburg,21079,14.4,2019-04-30 22:00:00,53.469022740542144,9.985800379966106
77,206.4,5.5,1857.6,Rahlstedt,Hamburg,22143,10.8,2019-05-30 22:00:00,53.60211451480366,10.158916850294473
78,50.4,2.5,736.38,Blankenese,Hamburg,22587,17.532,2019-02-28 23:00:00,53.56575356401257,9.816470613012395
79,63.6,2.5,852.0,Niendorf,Hamburg,22459,16.08,2019-04-30 22:00:00,53.62246479136798,9.953453679576283
80,64.8,2.5,696.0,Sülldorf,Hamburg,22589,12.888,2019-06-30 22:00:00,53.57999497262897,9.800982407113167
81,66.0,3.0,600.0,Wilstorf,Hamburg,21077,10.908,2019-01-31 23:00:00,53.4409622949766,9.984451319183496
82,44.4,2.5,573.6,Neustadt,Hamburg,20537,15.504000000000001,2019-01-31 23:00:00,53.54968163137887,9.983663657492905
83,85.2,3.5,930.0,Niendorf,Hamburg,22459,13.104000000000001,2019-01-31 23:00:00,53.62160363703887,9.941672679827695
84,90.54,3.5,560.76,Hummelsbüttel,Hamburg,22399,7.428,2019-01-31 23:00:00,53.65393575627154,10.06477887923445
85,67.896,2.5,1154.4,Bahrenfeld,Hamburg,22761,20.4,2019-03-28 23:00:00,53.5655585185871,9.929153194377903
86,148.89600000000002,4.5,1602.0,Hohenfelde,Hamburg,21075,12.912,2019-02-28 23:00:00,53.56541998972615,10.030618573921798
87,258.0,8.5,4311.6,Harvestehude,Hamburg,20144,20.052,2019-06-30 22:00:00,53.574759751638496,9.984312515391757
88,102.0,3.5,1020.0,Eißendorf,Hamburg,21073,12.0,2019-06-30 22:00:00,53.45548739961625,9.957643077877515
89,52.8,2.5,788.4,Eppendorf,Hamburg,20251,17.916,2019-05-30 22:00:00,53.595882891098306,9.9785017174531
90,79.2,3.5,1749.6,Hoheluft-West,Hamburg,20253,26.508000000000003,2019-06-30 22:00:00,53.58135261904251,9.971880779803524
91,96.0,2.5,1176.0,Lokstedt,Hamburg,22529,14.7,2019-01-31 23:00:00,53.59649934511243,9.965332770183341
92,82.8,3.5,1020.0,Billstedt,Hamburg,22119,14.784,2019-02-28 23:00:00,53.5451764569947,10.103147123420467
93,66.36,2.5,768.0,Barmbek-Nord,Hamburg,22307,13.884,2019-02-28 23:00:00,53.59819181049864,10.040655925827208
94,108.0,4.5,1680.0,St. Georg,Hamburg,20099,18.672,2019-04-30 22:00:00,53.557861796777814,10.017165506334884
95,69.3,2.5,852.0,Bergedorf,Hamburg,21029,14.748,2019-03-28 23:00:00,53.477894625282175,10.20369099338815
96,109.12799999999999,3.5,1392.0,Bergedorf,Hamburg,21029,15.312000000000001,2019-02-28 23:00:00,53.47859491173505,10.20442725157028
97,53.64,1.5,1421.46,HafenCity,Hamburg HafenCity,20457,31.8,2019-03-28 23:00:00,53.543533679843634,9.995090600731237
98,84.0,3.5,738.0,Wilstorf,Hamburg,21079,10.548,2019-04-30 22:00:00,53.44462561461514,9.994643732078206
99,132.0,3.5,1320.0,Wohldorf-Ohlstedt,Hamburg,22397,12.0,2019-01-31 23:00:00,53.69653640362028,10.140318336602961
100,114.852,4.0,1200.0,Hummelsbüttel,Hamburg,22399,12.54,2019-03-28 23:00:00,53.65156118512157,10.059302068506673
101,122.4,4.0,950.8439999999999,Heimfeld,Hamburg,21075,9.324,2019-02-28 23:00:00,53.46802497042506,9.962791723073122
102,86.28,2.5,1146.0,Othmarschen,Hamburg,22763,15.936,2019-02-28 23:00:00,53.558225846156596,9.90262087710525
103,232.93200000000002,3.5,3240.0,Hoheluft-West,Hamburg,20253,16.692,2019-06-30 22:00:00,53.577889103372314,9.963954499222217
104,45.6,1.5,547.2,Niendorf,Hamburg,22459,14.4,2019-03-28 23:00:00,53.62517901782772,9.953021798526127
105,70.8,2.5,840.0,Altona-Altstadt,Hamburg,22767,14.232000000000001,2019-03-28 23:00:00,53.55559575898546,9.955053760481269
106,49.2,2.5,480.0,Ohlsdorf,Neumünster,22335,11.712,2019-04-30 22:00:00,53.630479528649616,10.04885337802449
107,66.0,2.5,636.0,Wandsbek,Hamburg,22047,11.568,2019-01-31 23:00:00,53.583598460185954,10.079846117088806
108,58.092,2.5,693.6,Heimfeld,Hamburg,21075,14.328,2019-05-30 22:00:00,53.46826947316541,9.958134731903053
109,114.204,4.5,1194.0,Hummelsbüttel,Hamburg,22399,12.54,2019-02-28 23:00:00,53.65213506335283,10.059195516823394
110,43.2,1.5,516.0,Rahlstedt,Hamburg,22145,14.328,2019-06-30 22:00:00,53.62538812902599,10.151078781469812
111,84.0,2.5,1078.8,St. Pauli,Hamburg,20359,15.408,2019-01-31 23:00:00,53.55078761793896,9.95989235866028
112,111.0,3.5,2394.0,Hamb.-Altstadt,Hamburg,20457,25.884,2019-05-30 22:00:00,53.54728690026146,10.000672996460077
113,90.0,2.5,900.0,Bramfeld,Hamburg,22175,12.0,2019-04-30 22:00:00,53.619732539284506,10.081458700788156
114,83.556,2.5,780.0,Harburg,Hamburg,21073,11.208,2019-06-30 22:00:00,53.456921748013706,9.971791669190694
115,58.848,2.5,768.0,Eimsbüttel,Hamburg,20257,15.66,2019-06-30 22:00:00,53.57465672756064,9.9431731706617
116,27.6,1.5,456.0,Stellingen,Hamburg,22525,19.824,2019-06-30 22:00:00,53.588924945775325,9.931580672263447
117,141.6,3.5,2160.0,Marienthal,Hamburg,22043,18.3,2019-04-30 22:00:00,53.57241984517246,10.095206547594874
118,104.4,3.5,1428.0,Wandsbek,Hamburg,22041,16.416,2019-05-30 22:00:00,53.583162989573886,10.077028700927247
119,67.2,2.5,750.0,Hamm-Nord,Hamburg,20535,13.392000000000001,2019-02-28 23:00:00,53.56053324066304,10.044415750892254
120,52.464,2.5,498.0,Hamm-Mitte,Hamburg,20537,11.388,2019-03-28 23:00:00,53.55182263149394,10.049745652108106
121,56.46,2.5,677.52,Rissen,Hamburg,22559,14.4,2019-01-31 23:00:00,53.58388557612978,9.746192576716364
122,56.4,2.5,708.0,Niendorf,Hamburg,22455,15.06,2019-03-28 23:00:00,53.637259434315155,9.959951867388154
