"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"116.4","4.5","1453.2","1976","Farmsen-Berne","7967","2625150","Hamburg","22159","6","","14.976","2019-05-30 22:00:00","53.59779278086435","10.121997352109792"
"78","3","819.6","","Wandsbek","5628","2623928","Hamburg","22047","1","","12.612","2019-01-31 23:00:00","53.58669136622086","10.086159002222203"
"62.4","3.5","504","","Wilstorf","-239","2608361","Hamburg","21079","1","","9.696","2019-01-31 23:00:00","53.44490810458735","9.996352831413693"
"98.4","3.5","1131.6","1982","Rahlstedt","9481","2628105","Hamburg","22145","1","","13.8","2019-04-30 22:00:00","53.62468452926398","10.145269276629293"
"144","3.5","2280","","Blankenese","-13093","2620974","Hamburg","22587","5","2","18.996","2019-03-28 23:00:00","53.55965182828339","9.799681528125992"
"97.8","3.5","1128","2021","Langenhorn","369","2631379","Hamburg","22419","5","","13.836","2019-02-28 23:00:00","53.65458996529272","10.005657694021274"
"60","2.5","660","1964","Neugraben-Fischbek","-9224","2612187","Hamburg","21147","6","1","13.2","2019-01-31 23:00:00","53.47968501784058","9.859130282717368"
"78","2.5","573.768","1970","Marmstorf","-2662","2607988","Hamburg","21077","7","","8.832","2019-06-30 22:00:00","53.44150328239415","9.95938067307467"
"61.2","2.5","807.6","","Barmbek-Nord","3091","2625603","Hamburg","22307","1","","15.84","2019-04-30 22:00:00","53.601969671666176","10.047336420566689"
"60","2.5","660","1964","Neugraben-Fischbek","-9224","2612187","Hamburg","21147","6","1","13.2","2019-01-31 23:00:00","53.47968501784058","9.859130282717368"
"92.364","2.5","924","1976","Eimsbüttel","-2195","2621957","Hamburg","20357","7","","12","2019-02-28 23:00:00","53.56876233864666","9.966410373828596"
"25.2","1.5","720","1963","Uhlenhorst","863","2622405","Hmaburg","22085","5","1","34.284","2019-04-30 22:00:00","53.57284710114591","10.01320752632542"
"153.516","4.5","2568","2019","Winterhude","2310","2624438","Hamburg","22303","7","","20.076","2019-01-31 23:00:00","53.59136166854757","10.03536749403228"
"82.44","3.5","930","1904","Harburg","-1717","2609218","Hamburg","21073","5","2","13.536","2019-05-30 22:00:00","53.45271314122454","9.973793769414133"
"104.88","3.5","943.92","1984","Eißendorf","-3376","2609444","Hamburg","21075","5","","10.8","2019-02-28 23:00:00","53.45476421720855","9.948470398488952"
"144","4.5","2370","1906","Winterhude","-141","2623530","Hamburg","22301","5","2","19.752","2019-04-30 22:00:00","53.583095606935565","9.997841608036062"
"54","2.5","681.6","","Eimsbüttel","-3265","2622534","Hamburg","20257","1","","15.144","2019-06-30 22:00:00","53.574012902036834","9.95003046155358"
"80.4","2.5","1092","2022","Poppenbüttel","5517","2632520","Hammburg","22399","5","1","16.296","2019-02-28 23:00:00","53.664954078107236","10.08460928302769"
"76.8","2","801.6","1954","Billstedt","6582","2618892","Hamburg","22111","5","1","12.528","2019-04-30 22:00:00","53.54080589619398","10.100659460961984"
"153.72","4","3228","2011","Uhlenhorst","1157","2622537","Hamburg","22085","5","3","25.2","2019-01-31 23:00:00","53.57404896283156","10.017707442346255"
"98.4","4","1230","","Barmbek-Süd","1651","2622331","Hamburg","22085","1","","15","2019-06-30 22:00:00","53.5721711616365","10.025266852202577"
"75.6","2.5","1134","2023","Groß Flottbek","-7760","2621870","Hamburg","22807","1","","18","2019-03-28 23:00:00","53.56791793553086","9.88125255967516"
"74.4","3","1188","1908","Winterhude","165","2625279","Hamburg","22299","7","1","19.164","2019-06-30 22:00:00","53.59902730745642","10.00252668703028"
"115.2","3.5","2136","1928","Eimsbüttel","-2098","2622270","Hamburg","20357","7","","22.248","2019-04-30 22:00:00","53.571613927807114","9.967892677431747"
"67.332","3.5","774.324","1960","Eilbek","3178","2621654","Hamburg","22089","7","","13.8","2019-04-30 22:00:00","53.56599727569129","10.048629235545246"
"109.2","4","982.8","1972","Ohlsdorf","2557","2626409","Hamburg","22337","7","","10.8","2019-02-28 23:00:00","53.609314255265886","10.039165097354926"
"54","1.5","745.2","1955","Horn","5265","2620184","Hamburg","22111","5","1","16.56","2019-02-28 23:00:00","53.55258998945746","10.080539798905479"
"148.08","3.5","2028","","Bergedorf","14387","2613270","Hamburg","21029","","","16.44","2019-05-30 22:00:00","53.48943731478875","10.219767972487405"
"99.42","3.5","795.6","1971","Langenhorn","1004","2631854","Hamburg","22419","5","","9.6","2019-06-30 22:00:00","53.658915599592724","10.015395340914168"
"76.176","2.5","487.524","2023","Eidelstedt","-6507","2625886","Hamburg","22523","5","1","7.68","2019-03-28 23:00:00","53.60451675441569","9.900344261132116"
"61.2","2","540","1983","Niendorf","-2960","2629275","Hamburg-Niendorf","22455","1","1","10.584","2019-06-30 22:00:00","53.63541769427787","9.954635462341841"
"63.408","1.5","971.412","2003","Eppendorf","-881","2624296","Hamburg","20249","7","1","18.384","2019-06-30 22:00:00","53.590072458315795","9.98651175160197"
"66.936","3","737.64","1956","Hamm-Mitte","3913","2620189","Hamburg","20537","7","","13.224","2019-05-30 22:00:00","53.55264715670401","10.059858046000489"
